Status,Trace,Trace Length,Estimated Value
FAIL,Trace 1,94,1.0
FAIL,Trace 1,106,0.8
FAIL,Trace 1,142,0.84
FAIL,Trace 1,118,0.96
FAIL,Trace 1,118,0.84
FAIL,Trace 1,88,1.0
FAIL,Trace 1,106,0.92
FAIL,Trace 1,106,0.88
FAIL,Trace 1,106,0.84
FAIL,Trace 1,190,0.88
FAIL,Trace 1,94,1.0
FAIL,Trace 1,292,0.92
FAIL,Trace 1,94,1.0
FAIL,Trace 1,70,0.92
FAIL,Trace 1,202,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,106,1.0
FAIL,Trace 1,94,0.92
FAIL,Trace 1,70,0.8
FAIL,Trace 1,94,1.0
FAIL,Trace 1,130,1.0
FAIL,Trace 1,106,0.96
FAIL,Trace 1,106,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,0.96
FAIL,Trace 1,302,0.84
FAIL,Trace 1,106,0.96
FAIL,Trace 1,94,0.96
FAIL,Trace 1,262,0.88
FAIL,Trace 1,106,0.92
FAIL,Trace 1,94,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,94,0.92
FAIL,Trace 1,142,1.0
FAIL,Trace 1,118,0.96
FAIL,Trace 1,82,0.96
FAIL,Trace 1,106,1.0
FAIL,Trace 1,130,1.0
FAIL,Trace 1,130,1.0
FAIL,Trace 1,82,0.8
FAIL,Trace 1,262,0.96
FAIL,Trace 1,94,0.92
FAIL,Trace 1,130,0.96
FAIL,Trace 1,82,0.84
FAIL,Trace 1,82,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,184,1.0
FAIL,Trace 1,196,1.0
FAIL,Trace 1,166,0.96
FAIL,Trace 1,130,0.96
FAIL,Trace 1,94,0.88
FAIL,Trace 1,214,1.0
FAIL,Trace 1,106,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,0.92
FAIL,Trace 1,94,0.96
FAIL,Trace 1,70,0.8
FAIL,Trace 1,118,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,130,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,88,1.0
FAIL,Trace 1,82,0.88
FAIL,Trace 1,202,0.88
FAIL,Trace 1,100,1.0
FAIL,Trace 1,118,1.0
FAIL,Trace 1,106,1.0
FAIL,Trace 1,82,0.84
FAIL,Trace 1,94,0.84
FAIL,Trace 1,202,0.88
FAIL,Trace 1,106,1.0
FAIL,Trace 1,130,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,94,0.96
FAIL,Trace 1,202,0.96
FAIL,Trace 1,298,0.96
FAIL,Trace 1,82,0.76
FAIL,Trace 1,190,0.88
FAIL,Trace 1,94,0.88
FAIL,Trace 1,190,0.96
FAIL,Trace 1,130,1.0
FAIL,Trace 1,154,1.0
FAIL,Trace 1,88,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,0.8
FAIL,Trace 1,106,1.0
FAIL,Trace 1,302,0.96
FAIL,Trace 1,220,0.92
FAIL,Trace 1,118,0.84
FAIL,Trace 1,130,0.92
FAIL,Trace 1,94,1.0
FAIL,Trace 1,106,1.0
FAIL,Trace 1,118,0.96
FAIL,Trace 1,226,0.88
FAIL,Trace 1,124,1.0
FAIL,Trace 1,118,1.0
FAIL,Trace 1,196,0.56
FAIL,Trace 1,118,1.0
FAIL,Trace 1,178,0.96
FAIL,Trace 1,82,1.0
FAIL,Trace 1,166,0.84
FAIL,Trace 1,106,0.92
FAIL,Trace 1,172,0.96
FAIL,Trace 1,302,0.96
FAIL,Trace 1,178,0.92
FAIL,Trace 1,76,1.0
FAIL,Trace 1,82,0.84
FAIL,Trace 1,124,1.0
FAIL,Trace 1,226,0.8
FAIL,Trace 1,88,1.0
FAIL,Trace 1,82,0.92
FAIL,Trace 1,82,0.88
FAIL,Trace 1,166,0.96
FAIL,Trace 1,238,0.88
FAIL,Trace 1,118,1.0
FAIL,Trace 1,94,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,10,0.12
FAIL,Trace 1,178,0.96
FAIL,Trace 1,142,0.96
FAIL,Trace 1,94,1.0
FAIL,Trace 1,202,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,136,1.0
FAIL,Trace 1,118,1.0
FAIL,Trace 1,94,0.96
FAIL,Trace 1,118,1.0
FAIL,Trace 1,106,1.0
FAIL,Trace 1,118,0.96
FAIL,Trace 1,112,1.0
FAIL,Trace 1,82,0.88
FAIL,Trace 1,106,0.96
FAIL,Trace 1,94,0.96
FAIL,Trace 1,256,0.96
FAIL,Trace 1,94,0.92
FAIL,Trace 1,302,0.96
FAIL,Trace 1,82,0.96
FAIL,Trace 1,88,1.0
FAIL,Trace 1,142,1.0
FAIL,Trace 1,178,0.84
FAIL,Trace 1,112,1.0
FAIL,Trace 1,190,0.92
FAIL,Trace 1,166,1.0
FAIL,Trace 1,118,0.92
FAIL,Trace 1,268,0.96
FAIL,Trace 1,154,0.96
FAIL,Trace 1,94,0.92
FAIL,Trace 1,178,1.0
FAIL,Trace 1,10,0.16000000000000003
FAIL,Trace 1,286,0.6799999999999999
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,130,0.88
FAIL,Trace 1,82,0.96
FAIL,Trace 1,232,0.96
FAIL,Trace 1,94,0.76
FAIL,Trace 1,106,0.96
FAIL,Trace 1,106,0.88
FAIL,Trace 1,202,0.64
FAIL,Trace 1,82,1.0
FAIL,Trace 1,94,1.0
FAIL,Trace 1,94,0.96
FAIL,Trace 1,292,0.92
FAIL,Trace 1,142,1.0
FAIL,Trace 1,106,0.92
FAIL,Trace 1,178,0.96
FAIL,Trace 1,94,1.0
FAIL,Trace 1,118,0.96
FAIL,Trace 1,94,1.0
FAIL,Trace 1,142,0.96
FAIL,Trace 1,94,0.8
FAIL,Trace 1,154,0.96
FAIL,Trace 1,106,1.0
FAIL,Trace 1,178,0.96
FAIL,Trace 1,184,0.92
FAIL,Trace 1,118,1.0
FAIL,Trace 1,226,0.88
FAIL,Trace 1,130,0.92
FAIL,Trace 1,208,0.88
FAIL,Trace 1,112,1.0
FAIL,Trace 1,268,0.96
